date,amount
10.09.20 Do.,20
11.09.20 Fr.,24
14.09.20 Mo.,22
15.09.20 Di.,23
16.09.20 Mi.,24
17.09.20 Do.,23
18.09.20 Fr.,20
21.09.20 Mo.,16
22.09.20 Di.,19
23.09.20 Mi.,12
24.09.20 Do.,18
25.09.20 Fr.,11
28.09.20 Mo.,16
29.09.20 Di.,16
30.09.20 Mi.,15
01.10.20 Do.,13
02.10.20 Fr.,11
05.10.20 Mo.,11
06.10.20 Di.,16
07.10.20 Mi.,15
08.10.20 Do.,16
09.10.20 Fr.,15
12.10.20 Mo.,11
13.10.20 Di.,12
14.10.20 Mi.,15
15.10.20 Do.,16
16.10.20 Fr.,14
19.10.20 Mo.,15
20.10.20 Di.,16
21.10.20 Mi.,16
22.10.20 Do.,16
23.10.20 Fr.,16
26.10.20 Mo.,12
27.10.20 Di.,14
28.10.20 Mi.,13
29.10.20 Do.,13
30.10.20 Fr.,12
02.11.20 Mo.,16
03.11.20 Di.,17
04.11.20 Mi.,13
05.11.20 Do.,17
06.11.20 Fr.,17
09.11.20 Mo.,16
10.11.20 Di.,16
11.11.20 Mi.,13
12.11.20 Do.,16
13.11.20 Fr.,17
16.11.20 Mo.,15
17.11.20 Di.,14
18.11.20 Mi.,14
19.11.20 Do.,15
20.11.20 Fr.,13
23.11.20 Mo.,11
24.11.20 Di.,15
25.11.20 Mi.,13
26.11.20 Do.,15
27.11.20 Fr.,15
30.11.20 Mo.,14
01.12.20 Di.,16
02.12.20 Mi.,16
03.12.20 Do.,15
04.12.20 Fr.,13
07.12.20 Mo.,15
08.12.20 Di.,11
09.12.20 Mi.,16
10.12.20 Do.,16
11.12.20 Fr.,15
14.12.20 Mo.,15
15.12.20 Di.,13
16.12.20 Mi.,15
17.12.20 Do.,15
18.12.20 Fr.,17
21.12.20 Mo.,14
22.12.20 Di.,17
23.12.20 Mi.,20
24.12.20 Do.,3
04.01.21 Mo.,14
05.01.21 Di.,13
06.01.21 Mi.,13
07.01.21 Do.,14
08.01.21 Fr.,14
11.01.21 Mo.,12
12.01.21 Di.,11
13.01.21 Mi.,12
14.01.21 Do.,13
15.01.21 Fr.,10
18.01.21 Mo.,12
19.01.21 Di.,14
20.01.21 Mi.,12
21.01.21 Do.,9
22.01.21 Fr.,10
25.01.21 Mo.,12
26.01.21 Di.,11
27.01.21 Mi.,12
28.01.21 Do.,12
29.01.21 Fr.,13
01.02.21 Mo.,13
02.02.21 Di.,12
03.02.21 Mi.,12
04.02.21 Do.,12
05.02.21 Fr.,12
08.02.21 Mo.,11
09.02.21 Di.,10
10.02.21 Mi.,10
11.02.21 Do.,10
12.02.21 Fr.,10
15.02.21 Mo.,8
16.02.21 Di.,13
17.02.21 Mi.,16
18.02.21 Do.,16
19.02.21 Fr.,23
22.02.21 Mo.,16
23.02.21 Di.,18
24.02.21 Mi.,17
25.02.21 Do.,20
26.02.21 Fr.,18
01.03.21 Mo.,18
02.03.21 Di.,19
03.03.21 Mi.,19
04.03.21 Do.,20
05.03.21 Fr.,16
08.03.21 Mo.,17
09.03.21 Di.,15
10.03.21 Mi.,15
11.03.21 Do.,16
12.03.21 Fr.,13
15.03.21 Mo.,15
16.03.21 Di.,15
17.03.21 Mi.,14
18.03.21 Do.,15
19.03.21 Fr.,15
22.03.21 Mo.,17
23.03.21 Di.,16
24.03.21 Mi.,17
25.03.21 Do.,15
26.03.21 Fr.,13
29.03.21 Mo.,7
30.03.21 Di.,17
31.03.21 Mi.,13
01.04.21 Do.,16
06.04.21 Di.,14
07.04.21 Mi.,14
08.04.21 Do.,15
09.04.21 Fr.,13
12.04.21 Mo.,15
13.04.21 Di.,12
14.04.21 Mi.,13
15.04.21 Do.,14
16.04.21 Fr.,12
19.04.21 Mo.,15
20.04.21 Di.,15
21.04.21 Mi.,15
22.04.21 Do.,18
23.04.21 Fr.,13
26.04.21 Mo.,21
27.04.21 Di.,18
28.04.21 Mi.,21
29.04.21 Do.,21
30.04.21 Fr.,15
03.05.21 Mo.,21
04.05.21 Di.,19
05.05.21 Mi.,15
06.05.21 Do.,14
07.05.21 Fr.,11
10.05.21 Mo.,24
11.05.21 Di.,19
12.05.21 Mi.,16
14.05.21 Fr.,11
17.05.21 Mo.,15
18.05.21 Di.,15
19.05.21 Mi.,10
20.05.21 Do.,15
21.05.21 Fr.,14
25.05.21 Di.,15
26.05.21 Mi.,24
27.05.21 Do.,25
28.05.21 Fr.,25
31.05.21 Mo.,26
01.06.21 Di.,27
02.06.21 Mi.,25
03.06.21 Do.,21
04.06.21 Fr.,22
07.06.21 Mo.,26
08.06.21 Di.,15
09.06.21 Mi.,24
